cod;pais;cidade;veiculo;timestamp_resp;genero;renda_familiar;local_residencia;posse_bicicleta;posse_bicicleta_eletrica;posse_patinete_eletrica;posse_motocicleta;posse_automovel;posse_nenhum_desses;motivo;migracao_modal;m_caminhada;m_app_taxi;m_automovel;m_onibus_local;m_onibus_corredor;m_metro_trem;m_nao;integracao;i_metro;i_trem;i_onibus;i_fretado;i_automovel;i_app_taxi;i_nao;acidente;a_caminhada;a_bicicleta_propria;a_bicicleta_compartilhada;a_patinete_compartilhada;a_motocicleta;a_automovel;a_transporte_coletivo;a_nao;calcadas_largas_planas;ciclovias_ciclofaixas;traffic_calming;respeito_motoristas;capacete
Y6127;BR;SAO PAULO;BICICLETA;01/04/2019 15:17;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;0;0;0;0;0;1;LAZER;SIM;1;0;0;0;0;0;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;3;4;5;2;1
Y6128;BR;SAO PAULO;PATINETE;01/04/2019 15:21;FEMININO;DE 02 A 03 SM;DENTRO;1;0;0;1;1;0;LAZER;SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;2;4;3;5;1
Y6129;BR;SAO PAULO;PATINETE;01/04/2019 15:22;FEMININO;DE 10 A 20 SM;FORA - CENTRO;0;0;0;0;0;1;LAZER;SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;2;5;3;4
Y6130;BR;SAO PAULO;PATINETE;01/04/2019 15:25;FEMININO;DE 10 A 20 SM;DENTRO;0;0;0;0;1;0;EDUCACAO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;1;2;4;3
Y6131;BR;SAO PAULO;PATINETE;01/04/2019 15:25;MASCULINO;MAIS DE 20 SM;FORA - ZONA NORTE;0;0;0;0;1;0;EDUCACAO;SIM;0;1;0;0;0;0;0; SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;0;1;1;2;3;4;5
Y6132;BR;SAO PAULO;BICICLETA;01/04/2019 15:30;MASCULINO;MAIS DE 20 SM;DENTRO;1;0;0;0;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;0;1;0;0;3;5;4;1;2
Y6133;BR;SAO PAULO;BICICLETA;01/04/2019 15:30;MASCULINO;DE 05 A 10 SM;FORA - CENTRO;1;0;0;0;1;0;TRABALHO;SIM;0;0;0;1;0;0;0; NAO;0;0;0;0;0;0;1; SIM;0;1;0;0;0;0;0;0;2;5;3;4;1
Y6134;BR;SAO PAULO;BICICLETA;01/04/2019 15:32;MASCULINO;ATE 01 SM;FORA - ZONA SUL;1;0;0;0;0;0;OUTROS;SIM;1;0;0;0;0;0;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y6135;BR;SAO PAULO;BICICLETA;01/04/2019 15:42;MASCULINO;DE 05 A 10 SM;FORA - ZONA SUL;1;0;0;1;1;0;TRABALHO;SIM;1;1;1;0;1;0;0; SIM;1;0;0;0;0;0;0; SIM;0;0;0;0;1;0;0;0;1;2;5;4;3
Y6136;BR;SAO PAULO;BICICLETA;01/04/2019 15:43;MASCULINO;MAIS DE 20 SM;FORA - ZONA SUL;1;0;0;0;1;0;COMPRAS;SIM;1;0;0;1;0;0;0; SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;0;1;2;5;3;4;1
