cod;pais;cidade;veiculo;timestamp_resp;genero;renda_familiar;local_residencia;posse_bicicleta;posse_bicicleta_eletrica;posse_patinete_eletrica;posse_motocicleta;posse_automovel;posse_nenhum_desses;motivo;migracao_modal;m_caminhada;m_app_taxi;m_automovel;m_onibus_local;m_onibus_corredor;m_metro_trem;m_nao;integracao;i_metro;i_trem;i_onibus;i_fretado;i_automovel;i_app_taxi;i_nao;acidente;a_caminhada;a_bicicleta_propria;a_bicicleta_compartilhada;a_patinete_compartilhada;a_motocicleta;a_automovel;a_transporte_coletivo;a_nao;calcadas_largas_planas;ciclovias_ciclofaixas;traffic_calming;respeito_motoristas;capacete
Y0001;BR;SAO PAULO;BICICLETA;07/03/2019 14:12;MASCULINO;DE 05 A 10 SM;DENTRO;0;0;0;0;1;0;OUTROS;SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;0;1;0;0;3;1;4;2;5
Y0002;BR;SAO PAULO;BICICLETA;07/03/2019 14:14;MASCULINO;DE 10 A 20 SM;DENTRO;1;0;0;0;0;0;TRABALHO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;1;2;3
Y0003;BR;SAO PAULO;BICICLETA;07/03/2019 14:17;MASCULINO;DE 01 A 02 SM;FORA - ZONA NORTE;0;0;0;0;0;1;LAZER;SIM;1;0;0;1;0;1;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;2;4;1;5;3
Y0004;BR;SAO PAULO;BICICLETA;07/03/2019 14:18;MASCULINO;MAIS DE 20 SM;DENTRO;0;0;0;0;1;0;TRABALHO;SIM;0;1;1;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;2;3;5;4
Y0005;BR;SAO PAULO;BICICLETA;07/03/2019 14:18;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;1;0;0;0;0;0;TRABALHO;SIM;0;0;0;1;0;1;0; SIM;1;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;2;5;3;4
Y0006;BR;SAO PAULO;BICICLETA;07/03/2019 14:20;FEMININO;DE 03 A 05 SM;FORA - ZONA NORTE;0;0;0;0;0;1;TRABALHO;SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;5;3;4;2
Y0007;BR;SAO PAULO;BICICLETA;07/03/2019 14:24;MASCULINO;DE 03 A 05 SM;FORA - ZONA LESTE;1;0;0;0;1;0;TRABALHO;SIM;0;1;1;1;0;0;0; SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;2;5;1;3
Y0008;BR;SAO PAULO;BICICLETA;07/03/2019 14:25;MASCULINO;DE 02 A 03 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;1;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;2;1;4;3;5
Y0009;BR;SAO PAULO;BICICLETA;07/03/2019 14:26;FEMININO;DE 02 A 03 SM;FORA - ZONA OESTE;1;0;0;0;1;0;TRABALHO;SIM;1;0;0;1;0;0;0; SIM;0;0;0;0;0;1;0; NAO;0;0;0;0;0;0;0;1;5;3;1;2;4
Y0010;BR;SAO PAULO;BICICLETA;07/03/2019 14:26;MASCULINO;DE 05 A 10 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;1;1;1;1;1;0; NAO;0;0;0;0;0;0;1; SIM;0;0;1;0;0;1;1;0;2;5;1;4;3
Y0011;BR;SAO PAULO;BICICLETA;07/03/2019 14:33;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;1;0;0;0;0;0;EDUCACAO;SIM;1;0;0;0;0;0;0; SIM;1;1;0;0;0;0;0; SIM;1;0;0;0;0;0;0;0;5;4;3;2;1
Y0012;BR;SAO PAULO;BICICLETA;07/03/2019 14:33;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;1;1;0;0;1;1;0; NAO;0;0;0;0;0;0;0;1;3;4;5;2;1
Y0013;BR;SAO PAULO;BICICLETA;07/03/2019 14:34;MASCULINO;MAIS DE 20 SM;DENTRO;0;0;0;0;1;0;EDUCACAO;SIM;0;1;1;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;5;2;3;1
Y0014;BR;SAO PAULO;BICICLETA;07/03/2019 14:34;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;0;1;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;2;3;1
Y0015;BR;SAO PAULO;BICICLETA;07/03/2019 14:35;MASCULINO;DE 10 A 20 SM;FORA - ZONA NORTE;0;0;0;0;0;1;LAZER;SIM;1;0;0;0;1;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0016;BR;SAO PAULO;BICICLETA;07/03/2019 14:36;MASCULINO;DE 03 A 05 SM;FORA - ZONA SUL;1;0;0;1;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;2;4;5;3
Y0017;BR;SAO PAULO;BICICLETA;07/03/2019 14:38;MASCULINO;DE 03 A 05 SM;FORA - ZONA OESTE;0;0;0;0;0;1;TRABALHO;SIM;1;1;0;0;0;0;0; SIM;1;1;1;0;0;1;0; NAO;0;0;0;0;0;0;0;1;5;1;3;2;4
Y0018;BR;SAO PAULO;BICICLETA;07/03/2019 14:39;MASCULINO;DE 02 A 03 SM;FORA - CENTRO;0;0;0;0;0;1;LAZER;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;2;5;4;3
Y0019;BR;SAO PAULO;BICICLETA;07/03/2019 14:39;FEMININO;DE 10 A 20 SM;DENTRO;0;0;0;0;0;1;OUTROS;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;0;1;0;0;1;5;2;3;4
Y0020;BR;SAO PAULO;BICICLETA;07/03/2019 14:42;FEMININO;DE 10 A 20 SM;FORA - ZONA LESTE;1;0;0;0;1;0;LAZER;SIM;1;1;0;0;1;1;0; NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;0;1;0;0;5;3;2;4;1
Y0021;BR;SAO PAULO;BICICLETA;07/03/2019 14:46;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;0;1;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;3;2;4;1
Y0022;BR;SAO PAULO;BICICLETA;07/03/2019 14:49;MASCULINO;DE 03 A 05 SM;FORA - ZONA SUL;0;0;0;0;0;1;COMPRAS;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;5;4;3;2
Y0023;BR;SAO PAULO;BICICLETA;07/03/2019 14:50;MASCULINO;DE 02 A 03 SM;FORA - ZONA OESTE;0;0;0;0;1;0;EDUCACAO;SIM;0;1;1;0;1;1;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;1;2;3
Y0024;BR;SAO PAULO;BICICLETA;07/03/2019 14:51;MASCULINO;DE 05 A 10 SM;FORA - ZONA OESTE;1;0;0;0;0;0;EDUCACAO;NAO;0;0;0;0;0;0;1; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;2;3;4;1;5
Y0025;BR;SAO PAULO;BICICLETA;07/03/2019 14:54;FEMININO;DE 01 A 02 SM;DENTRO;0;0;0;0;0;1;LAZER;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;2;3;5;1
Y0026;BR;SAO PAULO;BICICLETA;07/03/2019 14:57;MASCULINO;DE 05 A 10 SM;FORA - ZONA NORTE;0;0;0;0;1;0;LAZER;SIM;1;1;0;0;1;0;0; SIM;0;0;1;0;0;1;0; SIM;0;0;0;0;0;1;0;0;4;5;1;3;2
Y0027;BR;SAO PAULO;BICICLETA;07/03/2019 15:01;FEMININO;DE 05 A 10 SM;DENTRO;1;0;0;0;0;0;TRABALHO;SIM;1;1;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;3;5;1;4;2
Y0028;BR;SAO PAULO;BICICLETA;07/03/2019 15:03;MASCULINO;DE 03 A 05 SM;FORA - ZONA SUL;1;0;0;0;0;0;LAZER;SIM;1;1;1;0;0;1;0; SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;2;1;4;3;5
Y0029;BR;SAO PAULO;BICICLETA;07/03/2019 15:05;MASCULINO;MAIS DE 20 SM;DENTRO;0;0;0;0;0;1;LAZER;SIM;1;1;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;3;2;1;5
Y0030;BR;SAO PAULO;BICICLETA;07/03/2019 15:05;MASCULINO;DE 01 A 02 SM;DENTRO;0;0;0;0;1;0;TRABALHO;SIM;1;0;1;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;2;1;5;3
Y0031;BR;SAO PAULO;BICICLETA;07/03/2019 15:10;MASCULINO;MAIS DE 20 SM;FORA - ZONA SUL;0;0;0;1;1;0;LAZER;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0032;BR;SAO PAULO;BICICLETA;07/03/2019 15:12;FEMININO;MAIS DE 20 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;2;3;4;5
Y0033;BR;SAO PAULO;BICICLETA;07/03/2019 15:13;FEMININO;DE 10 A 20 SM;FORA - ZONA OESTE;0;0;0;0;1;0;EDUCACAO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0034;BR;SAO PAULO;BICICLETA;07/03/2019 15:15;FEMININO;DE 10 A 20 SM;DENTRO;0;0;0;0;0;1;TRABALHO;SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;2;3;1
Y0035;BR;SAO PAULO;BICICLETA;07/03/2019 15:21;FEMININO;DE 05 A 10 SM;DENTRO;0;0;0;0;0;1;EDUCACAO;SIM;1;0;0;1;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;2;1;5;3;4
Y0036;BR;SAO PAULO;BICICLETA;07/03/2019 15:21;MASCULINO;ATE 01 SM;FORA - ZONA OESTE;1;0;0;0;0;0;TRABALHO;SIM;0;0;0;0;1;0;0; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;4;2;3;1
Y0037;BR;SAO PAULO;BICICLETA;07/03/2019 15:27;FEMININO;DE 05 A 10 SM;DENTRO;1;0;0;0;0;0;OUTROS;SIM;0;1;1;0;1;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;5;1;3;2
Y0038;BR;SAO PAULO;BICICLETA;07/03/2019 15:33;MASCULINO;DE 05 A 10 SM;FORA - ZONA LESTE;0;0;0;0;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;1;0;0;0;4;3;2;5;1
Y0039;BR;SAO PAULO;BICICLETA;07/03/2019 15:36;FEMININO;DE 03 A 05 SM;FORA - ZONA LESTE;0;0;0;0;0;1;TRABALHO;SIM;0;0;0;1;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0040;BR;SAO PAULO;BICICLETA;07/03/2019 15:36;MASCULINO;DE 05 A 10 SM;DENTRO;0;0;0;0;0;1;OUTROS;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0041;BR;SAO PAULO;BICICLETA;07/03/2019 15:37;MASCULINO;ATE 01 SM;FORA - ZONA SUL;1;0;0;0;0;0;TRABALHO;SIM;0;0;0;0;1;0;0; SIM;1;0;0;0;0;0;0; SIM;1;1;1;0;0;1;1;0;4;5;2;3;1
Y0042;BR;SAO PAULO;BICICLETA;07/03/2019 15:41;MASCULINO;ATE 01 SM;FORA - ZONA LESTE;1;0;0;0;0;0;EDUCACAO;SIM;0;0;0;1;0;0;0; SIM;0;1;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;4;5;2;3
Y0043;BR;SAO PAULO;BICICLETA;07/03/2019 15:41;MASCULINO;DE 02 A 03 SM;FORA - ZONA OESTE;1;0;0;0;0;0;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;3;4;2;5;1
Y0044;BR;SAO PAULO;BICICLETA;07/03/2019 15:43;FEMININO;DE 10 A 20 SM;DENTRO;1;0;0;0;1;0;LAZER;SIM;1;0;0;0;0;0;0; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0045;BR;SAO PAULO;BICICLETA;07/03/2019 15:43;MASCULINO;DE 10 A 20 SM;DENTRO;0;0;0;0;0;1;EDUCACAO;SIM;1;0;0;0;0;0;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;3;1;2;5
Y0046;BR;SAO PAULO;BICICLETA;07/03/2019 15:44;FEMININO;DE 05 A 10 SM;DENTRO;0;0;0;0;0;1;EDUCACAO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;2;3;1
Y0047;BR;SAO PAULO;BICICLETA;07/03/2019 15:44;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;4;2;3;1
Y0048;BR;SAO PAULO;BICICLETA;07/03/2019 15:46;FEMININO;DE 01 A 02 SM;FORA - ZONA SUL;1;0;0;0;1;0;LAZER;SIM;1;0;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;2;3;5;4
Y0049;BR;SAO PAULO;BICICLETA;07/03/2019 15:47;MASCULINO;DE 05 A 10 SM;FORA - CENTRO;0;0;0;0;0;1;TRABALHO;SIM;0;0;0;0;1;0;0; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;5;2;3;1
Y0050;BR;SAO PAULO;BICICLETA;07/03/2019 15:47;MASCULINO;DE 05 A 10 SM;DENTRO;0;0;0;0;1;0;LAZER;SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;2;3;1;5;4
Y0051;BR;SAO PAULO;BICICLETA;07/03/2019 15:49;MASCULINO;DE 02 A 03 SM;FORA - ZONA SUL;1;0;0;0;1;0;TRABALHO;SIM;0;0;0;1;0;0;0; SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;0;1;2;1;3;4;5
Y0052;BR;SAO PAULO;BICICLETA;07/03/2019 16:02;MASCULINO;DE 05 A 10 SM;FORA - ZONA NORTE;0;0;0;0;1;0;LAZER;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;3;2;1;4
Y0053;BR;SAO PAULO;BICICLETA;07/03/2019 16:03;FEMININO;DE 05 A 10 SM;FORA - ZONA SUL;1;0;0;0;0;0;COMPRAS;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; SIM;0;1;0;0;0;0;0;0;2;3;4;5;1
Y0054;BR;SAO PAULO;BICICLETA;07/03/2019 16:03;MASCULINO;DE 01 A 02 SM;FORA - CENTRO;0;0;0;0;1;0;TRABALHO;SIM;0;0;0;0;1;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;5;3;2;1
Y0055;BR;SAO PAULO;BICICLETA;07/03/2019 16:10;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;0;0;0;0;0;1;LAZER;SIM;1;0;0;0;0;0;0; SIM;1;1;1;0;0;0;0; SIM;0;0;1;0;0;0;0;0;3;4;1;2;5
Y0056;BR;SAO PAULO;BICICLETA;07/03/2019 16:11;MASCULINO;DE 05 A 10 SM;FORA - ZONA SUL;0;0;0;0;1;0;TRABALHO;SIM;0;1;0;0;0;0;0; SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0057;BR;SAO PAULO;BICICLETA;07/03/2019 16:11;MASCULINO;DE 03 A 05 SM;FORA - ZONA NORTE;0;0;0;0;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0058;BR;SAO PAULO;BICICLETA;07/03/2019 16:12;MASCULINO;DE 03 A 05 SM;FORA - ZONA SUL;1;0;0;1;0;0;TRABALHO;SIM;1;1;0;1;0;1;0; SIM;0;0;0;0;0;1;0; NAO;0;0;0;0;0;0;0;1;3;4;2;5;1
Y0059;BR;SAO PAULO;BICICLETA;07/03/2019 16:13;MASCULINO;DE 01 A 02 SM;FORA - CENTRO;0;0;0;0;0;1;LAZER;SIM;1;1;1;1;1;1;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;2;1;4;3;5
Y0060;BR;SAO PAULO;BICICLETA;07/03/2019 16:16;FEMININO;DE 03 A 05 SM;DENTRO;1;0;0;0;1;0;TRABALHO;SIM;1;0;1;0;0;0;0; SIM;1;0;0;0;1;0;0; NAO;0;0;0;0;0;0;0;1;2;5;1;4;3
Y0061;BR;SAO PAULO;BICICLETA;07/03/2019 16:19;MASCULINO;DE 10 A 20 SM;FORA - ZONA SUL;0;0;0;0;0;1;LAZER;SIM;1;0;0;0;0;0;0; SIM;1;0;1;0;0;0;0; SIM;1;0;0;0;0;0;0;0;3;5;4;2;1
Y0062;BR;SAO PAULO;BICICLETA;07/03/2019 16:20;FEMININO;ATE 01 SM;FORA - ZONA LESTE;0;0;0;0;0;1;LAZER;SIM;0;0;0;1;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;5;3;1;2
Y0063;BR;SAO PAULO;BICICLETA;07/03/2019 16:21;MASCULINO;ATE 01 SM;DENTRO;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;0;0;0;0;0;1;0; NAO;0;0;0;0;0;0;0;1;4;5;3;1;2
Y0064;BR;SAO PAULO;BICICLETA;07/03/2019 16:24;MASCULINO;DE 10 A 20 SM;DENTRO;1;0;0;0;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;5;2;1;3
Y0065;BR;SAO PAULO;BICICLETA;07/03/2019 16:27;MASCULINO;DE 02 A 03 SM;DENTRO;0;0;0;0;0;1;TRABALHO;SIM;0;0;0;1;1;1;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;1;5;2;3
Y0066;BR;SAO PAULO;BICICLETA;07/03/2019 16:28;MASCULINO;DE 03 A 05 SM;DENTRO;1;0;0;0;0;0;EDUCACAO;SIM;0;0;0;1;0;0;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;2;4;3;1
Y0067;BR;SAO PAULO;BICICLETA;07/03/2019 16:32;FEMININO;DE 10 A 20 SM;FORA - CENTRO;0;0;0;0;1;0;EDUCACAO;SIM;1;0;0;1;1;0;0; SIM;1;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;3;2;1;5
Y0068;BR;SAO PAULO;BICICLETA;07/03/2019 16:32;MASCULINO;DE 03 A 05 SM;FORA - ZONA LESTE;1;0;0;0;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;3;4;2;1
Y0069;BR;SAO PAULO;BICICLETA;07/03/2019 16:33;FEMININO;DE 05 A 10 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;0;0;0;1;0;1;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;5;3;4;2
Y0070;BR;SAO PAULO;BICICLETA;07/03/2019 16:37;MASCULINO;MAIS DE 20 SM;DENTRO;0;0;0;0;1;0;EDUCACAO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;0;1;0;0;3;4;2;5;1
Y0071;BR;SAO PAULO;BICICLETA;07/03/2019 16:40;MASCULINO;DE 05 A 10 SM;FORA - ZONA NORTE;0;0;0;0;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;2;1;5;3;4
Y0072;BR;SAO PAULO;BICICLETA;07/03/2019 16:41;MASCULINO;DE 03 A 05 SM;DENTRO;0;0;0;0;0;1;LAZER;NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;3;2;5;1
Y0073;BR;SAO PAULO;BICICLETA;07/03/2019 16:43;MASCULINO;DE 02 A 03 SM;FORA - ZONA OESTE;0;0;0;0;0;1;COMPRAS;SIM;1;1;0;0;1;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;2;4;3;5
Y0074;BR;SAO PAULO;BICICLETA;07/03/2019 16:44;FEMININO;DE 10 A 20 SM;DENTRO;0;0;0;0;0;1;LAZER;SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;2;3;4;5;1
Y0075;BR;SAO PAULO;BICICLETA;07/03/2019 16:44;FEMININO;DE 05 A 10 SM;DENTRO;1;0;0;0;0;0;TRABALHO;SIM;0;0;0;1;0;0;0; SIM;0;0;0;0;0;1;0; NAO;0;0;0;0;0;0;0;1;2;1;4;5;3
Y0076;BR;SAO PAULO;BICICLETA;07/03/2019 16:47;FEMININO;DE 03 A 05 SM;FORA - ZONA LESTE;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;1;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;3;5;2;4;1
Y0077;BR;SAO PAULO;BICICLETA;07/03/2019 16:47;MASCULINO;DE 03 A 05 SM;FORA - ZONA OESTE;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;1;0;0;0; SIM;0;1;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;4;2;3;1
Y0078;BR;SAO PAULO;BICICLETA;07/03/2019 16:49;FEMININO;DE 03 A 05 SM;DENTRO;1;0;0;0;1;0;LAZER;NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0079;BR;SAO PAULO;BICICLETA;07/03/2019 16:50;MASCULINO;DE 10 A 20 SM;FORA - CENTRO;0;0;0;0;1;0;TRABALHO;SIM;0;0;0;0;0;1;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;2;1;3;4;5
Y0080;BR;SAO PAULO;BICICLETA;07/03/2019 16:51;MASCULINO;DE 03 A 05 SM;FORA - ZONA SUL;1;0;0;1;0;0;TRABALHO;SIM;0;1;1;0;0;0;0; SIM;1;0;0;0;0;0;0; SIM;0;0;0;0;1;0;0;0;3;4;1;5;2
Y0081;BR;SAO PAULO;BICICLETA;07/03/2019 16:53;MASCULINO;DE 10 A 20 SM;DENTRO;0;0;0;0;1;0;LAZER;SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;2;3;1
Y0082;BR;SAO PAULO;BICICLETA;07/03/2019 16:53;MASCULINO;DE 03 A 05 SM;FORA - ZONA SUL;1;0;0;0;0;0;OUTROS;SIM;0;0;0;0;1;1;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;1;4;2;3
Y0083;BR;SAO PAULO;BICICLETA;07/03/2019 16:55;MASCULINO;DE 05 A 10 SM;FORA - ZONA LESTE;0;0;0;0;0;1;TRABALHO;SIM;1;0;1;0;0;0;0; SIM;1;0;0;0;1;0;0; NAO;0;0;0;0;0;0;0;1;1;2;3;4;5
Y0084;BR;SAO PAULO;BICICLETA;07/03/2019 16:56;MASCULINO;MAIS DE 20 SM;DENTRO;0;0;0;0;1;0;LAZER;SIM;1;0;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;5;2;3;1
Y0085;BR;SAO PAULO;BICICLETA;07/03/2019 16:56;MASCULINO;DE 10 A 20 SM;FORA - ZONA SUL;0;0;0;0;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;0;0;0;1;0;0;0; NAO;0;0;0;0;0;0;0;1;5;1;3;4;2
Y0086;BR;SAO PAULO;BICICLETA;07/03/2019 16:59;MASCULINO;ATE 01 SM;FORA - ZONA SUL;1;0;0;0;0;0;OUTROS;SIM;1;0;0;0;1;1;0; SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;3;2;5;1
Y0087;BR;SAO PAULO;BICICLETA;07/03/2019 17:01;MASCULINO;DE 01 A 02 SM;FORA - ZONA NORTE;0;0;0;0;1;0;OUTROS;SIM;0;0;0;1;0;0;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;2;5;3;4
Y0088;BR;SAO PAULO;BICICLETA;07/03/2019 17:03;MASCULINO;DE 10 A 20 SM;FORA - ZONA OESTE;0;0;0;0;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;2;1;5;3;4
Y0089;BR;SAO PAULO;BICICLETA;07/03/2019 17:04;MASCULINO;DE 02 A 03 SM;DENTRO;0;0;0;0;1;0;TRABALHO;SIM;1;1;1;0;0;0;0; SIM;0;1;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;2;3;1;5
Y0090;BR;SAO PAULO;BICICLETA;07/03/2019 17:06;MASCULINO;DE 10 A 20 SM;FORA - CENTRO;0;0;0;0;0;1;LAZER;SIM;0;1;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;4;5;3;2
Y0091;BR;SAO PAULO;BICICLETA;07/03/2019 17:09;FEMININO;DE 02 A 03 SM;FORA - ZONA OESTE;0;0;0;0;0;1;LAZER;SIM;0;0;0;1;0;0;0; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0092;BR;SAO PAULO;BICICLETA;07/03/2019 17:12;MASCULINO;DE 02 A 03 SM;FORA - ZONA SUL;1;0;0;0;0;0;TRABALHO;SIM;1;0;0;1;1;0;0; SIM;0;1;1;0;0;0;0; SIM;0;0;1;0;0;0;0;0;1;2;4;3;5
